words,correctAns,categories,keypad,thisN,thisTrialN,thisRepN,key_resp_C1.keys,key_resp_C1.corr,key_resp_C1.rt,key_resp_C1.duration,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,Welcome.started,welcome.started,key_resp_22.started,Welcome.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,Introduction.started,key_resp.started,information.started,Introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reminder_C1.started,key_resp_26.started,image_c1.started,reminder_C1.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.duration,ISI1500_C1.started,background_C.started,text_ISI1500_C1.started,ISI1500_C1.stopped,record_Task_C1.started,background_C_2.started,text_C1.started,key_resp_C1.started,record_Task_C1.stopped,trials_3.key_resp_C1.keys,trials_3.key_resp_C1.corr,trials_3.key_resp_C1.rt,trials_3.key_resp_C1.duration,feedback_C1.started,feedback_C1.stopped,ISI250_C1.started,background_C_4.started,text_ISI250_C1.started,background_C_4.stopped,text_ISI250_C1.stopped,ISI250_C1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,1.9096561659989675,1.9390639159992134,1.9390639159992134,3.4308022079985676,space,1.4891530000004423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4308387080000102,3.457504207999591,3.457504207999591,4.191921290999744,space,0.7284239169985085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.195955415998469,4.202488457998697,4.202488457998697,4.964183290998335,space,0.7596612909983378,None,,,,,,,,,,,,,,,,,,,,,,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.964224082999863,4.978923707998547,4.978923707998547,6.474282957999094,,,,,,,,,,,,,,,,,,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Hwang,left,korean,a,0,0,0,a,1,2.4316235419992154,None,,,,,0,0,0,0,6.526099249998879,,,,,,,,,,,,,,,,,,,,,,,,,,,6.520268790998671,6.526099249998879,6.526099249998879,6.526099249998879,8.959796457998891,a,1,2.4316235419992154,None,8.959867540999767,8.959894165998776,8.959907124999518,8.965049415999601,8.965049415999601,9.21462687499843,9.21462687499843,9.207971040999837,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Hyun,left,korean,a,1,1,0,a,1,0.8390502919992286,None,,,,,0,1,1,1,9.21462687499843,,,,,,,,,,,,,,,,,,,,,,,,,,,9.210814707999816,9.21462687499843,9.21462687499843,9.21462687499843,10.058490165998592,a,1,0.8390502919992286,None,10.058553207998557,10.058576999999786,10.058590082999217,10.064261290999639,10.064261290999639,10.315677290998792,10.315677290998792,10.3079928749994,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Choung,left,korean,a,2,2,0,a,1,0.519160624999131,None,,,,,0,2,2,2,10.315677290998792,,,,,,,,,,,,,,,,,,,,,,,,,,,10.311586040999828,10.315677290998792,10.315677290998792,10.315677290998792,10.842015124999307,a,1,0.519160624999131,None,10.84208099999887,10.842104874998768,10.8421177909986,10.847996290998708,10.847996290998708,11.098365457999535,11.098365457999535,11.091394249999212,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Maeng,left,korean,a,3,3,0,a,1,1.2104201249985636,None,,,,,0,3,3,3,11.098365457999535,,,,,,,,,,,,,,,,,,,,,,,,,,,11.094382790999589,11.098365457999535,11.098365457999535,11.098365457999535,12.314609957998982,a,1,1.2104201249985636,None,12.314673374999984,12.314697207999416,12.314710457998444,12.322037665999233,12.322037665999233,12.563481999999567,12.563481999999567,12.557987082998807,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Chun,left,korean,a,4,4,0,a,1,0.5344486670001061,None,,,,,0,4,4,4,12.563481999999567,,,,,,,,,,,,,,,,,,,,,,,,,,,12.559340124998926,12.563481999999567,12.563481999999567,12.563481999999567,13.108685332999812,a,1,0.5344486670001061,None,13.108748040998762,13.108771832999992,13.108784582998851,13.11442249999891,13.11442249999891,13.363246582999636,13.363246582999636,13.358005290998335,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Choe,left,korean,a,5,5,0,a,1,0.5620011249993695,None,,,,,0,5,5,5,13.363246582999636,,,,,,,,,,,,,,,,,,,,,,,,,,,13.359367790999386,13.363246582999636,13.363246582999636,13.363246582999636,13.931025207999483,a,1,0.5620011249993695,None,13.93109233299947,13.931116040999768,13.931129374999728,13.93873770799837,13.93873770799837,14.180988832998992,14.180988832998992,14.174619207999058,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Kwon,left,korean,a,6,6,0,a,1,1.3235199999999168,None,,,,,0,6,6,6,14.180988832998992,,,,,,,,,,,,,,,,,,,,,,,,,,,14.17704641599994,14.180988832998992,14.180988832998992,14.180988832998992,15.508813415999612,a,1,1.3235199999999168,None,15.508880540999598,15.508907915998861,15.508921999999075,15.513016707998759,15.513016707998759,15.764411457999813,15.764411457999813,15.758052707999013,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Sunwoo,left,korean,a,7,7,0,a,1,0.6522370000002411,None,,,,,0,7,7,7,15.764411457999813,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76070108299973,15.764411457999813,15.764411457999813,15.764411457999813,16.425600874999873,a,1,0.6522370000002411,None,16.425663832998907,16.42568758299967,16.425700750000033,16.431454874998963,16.431454874998963,16.681084499999997,16.681084499999997,16.674733249999917,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Whang,left,korean,a,8,8,0,a,1,0.7816939999993338,None,,,,,0,8,8,8,16.681084499999997,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67715437499828,16.681084499999997,16.681084499999997,16.681084499999997,17.46430916600002,a,1,0.7816939999993338,None,17.464375957999437,17.464399749998847,17.464412707999145,17.472079957999085,17.472079957999085,17.714166915999158,17.714166915999158,17.70804816599957,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Byun,left,korean,a,9,9,0,a,1,0.7383717089996935,None,,,,,0,9,9,9,17.714166915999158,,,,,,,,,,,,,,,,,,,,,,,,,,,17.710446290999244,17.714166915999158,17.714166915999158,17.714166915999158,18.45885291599916,a,1,0.7383717089996935,None,18.458916124998723,18.45893983299902,18.458952832999785,18.46464562499932,18.46464562499932,18.71332312499908,18.71332312499908,18.708104415998605,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Sohn,left,korean,a,10,10,0,a,1,0.8588839579988417,None,,,,,0,10,10,10,18.71332312499908,,,,,,,,,,,,,,,,,,,,,,,,,,,18.70948104099989,18.71332312499908,18.71332312499908,18.71332312499908,19.575465040999916,a,1,0.8588839579988417,None,19.57553220799855,19.5755602499994,19.575573707999865,19.57940249999956,19.57940249999956,19.830243999998856,19.830243999998856,19.824837540998487,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Kung,left,korean,a,11,11,0,a,1,1.1497683329998836,None,,,,,0,11,11,11,19.830243999998856,,,,,,,,,,,,,,,,,,,,,,,,,,,19.826211957999476,19.830243999998856,19.830243999998856,19.830243999998856,20.981305582999994,a,1,1.1497683329998836,None,20.981372040998394,20.981395457998588,20.981408415998885,20.989009707998775,20.989009707998775,21.230953249998493,21.230953249998493,21.224881624999398,189873,001,2025-04-13_22h33.28.828,IAT,2024.2.4,None,2025-04-13 22h33.47.341802 +0800,
Youn,left,korean,a,12,12,0,,,,,,,,,0,12,12,12,21.230953249998493,,,,,,,,,,,,,,,,,,,,,,,,,,,21.22721745799936,21.230953249998493,21.230953249998493,21.230953249998493,,,,,,,,,,,,,,,,,,,,,
